You are now connected to database "nc_news_test" as user "claytonpyne".
   username    | comment_id |    author     | article_id | votes |     created_at      |                                                                                         body                                                                                         
---------------+------------+---------------+------------+-------+---------------------+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 butter_bridge |          1 | butter_bridge |          9 |    16 | 2020-04-06 13:17:00 | Oh, I've got compassion running out of my nose, pal! I'm the Sultan of Sentiment!
 butter_bridge |          2 | butter_bridge |          1 |    14 | 2020-10-31 03:03:00 | The beautiful thing about treasure is that it exists. Got to find out what kind of sheets these are; not cotton, not rayon, silky.
 icellusedkars |          3 | icellusedkars |          1 |   100 | 2020-03-01 01:13:00 | Replacing the quiet elegance of the dark suit and tie with the casual indifference of these muted earth tones is a form of fashion suicide, but, uh, call me crazy — onyou it works.
 icellusedkars |          4 | icellusedkars |          1 |  -100 | 2020-02-23 12:01:00 |  I carry a log — yes. Is it funny to you? It is not to me.
 icellusedkars |          5 | icellusedkars |          1 |     0 | 2020-11-03 21:00:00 | I hate streaming noses
 icellusedkars |          6 | icellusedkars |          1 |     0 | 2020-04-11 22:02:00 | I hate streaming eyes even more
 icellusedkars |          7 | icellusedkars |          1 |     0 | 2020-05-15 21:19:00 | Lobster pot
 icellusedkars |          8 | icellusedkars |          1 |     0 | 2020-04-14 21:19:00 | Delicious crackerbreads
 icellusedkars |          9 | icellusedkars |          1 |     0 | 2020-01-01 03:08:00 | Superficially charming
 icellusedkars |         10 | icellusedkars |          3 |     0 | 2020-06-20 08:24:00 | git push origin master
 icellusedkars |         11 | icellusedkars |          3 |     0 | 2020-09-20 00:10:00 | Ambidextrous marsupial
 icellusedkars |         12 | icellusedkars |          1 |     0 | 2020-03-02 07:10:00 | Massive intercranial brain haemorrhage
 icellusedkars |         13 | icellusedkars |          1 |     0 | 2020-06-15 11:25:00 | Fruit pastilles
 icellusedkars |         14 | icellusedkars |          5 |    16 | 2020-06-09 06:00:00 | What do you see? I have no idea where this will lead us. This place I speak of, is known as the Black Lodge.
 butter_bridge |         15 | butter_bridge |          5 |     1 | 2020-11-24 00:08:00 | I am 100% sure that we're not completely sure.
 butter_bridge |         16 | butter_bridge |          6 |     1 | 2020-10-11 16:23:00 | This is a bad article name
 icellusedkars |         17 | icellusedkars |          9 |    20 | 2020-03-14 17:02:00 | The owls are not what they seem.
 butter_bridge |         18 | butter_bridge |          1 |    16 | 2020-07-21 01:20:00 | This morning, I showered for nine minutes.
 lurker        |            |               |            |       |                     | 
 rogersop      |            |               |            |       |                     | 
 new_user      |            |               |            |       |                     | 
(21 rows)

